# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: perched water table depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-perched_water_table_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow [m3SWE/d]
# Region: surface domain
# Reduction: integral
# Variable: snow-precipitation
# Number of Vectors: 1
# =============================================================================
"time [d]" "water content [mol]" "surface water content [mol]" "snow water content [mol]" "evaporation [m3/d]" "discharge [mol/d]" "surface-subsurface exchange [mol/d]" "thaw depth [m]" "water table depth [m]" "perched water table depth [m]" "rain [m3/d]" "snow [m3SWE/d]"
2.400000000000e+01 1.746072940391e+10 1.815440735055e+08 3.754876661732e+07 -2.776938395934e-03 0.000000000000e+00 3.396410898898e+06 0.000000000000e+00 1.400000000000e-02 1.400000000000e-02 0.000000000000e+00 0.000000000000e+00
2.500000000000e+01 1.745766497035e+10 1.846085070668e+08 3.753547030344e+07 -1.351615423867e-02 0.000000000000e+00 3.064433561360e+06 0.000000000000e+00 1.500000000000e-02 1.500000000000e-02 0.000000000000e+00 0.000000000000e+00
2.600000000000e+01 1.745481836367e+10 1.874551137533e+08 4.245908256584e+07 -1.317024327766e-02 0.000000000000e+00 2.846606686501e+06 0.000000000000e+00 1.600000000009e-02 1.600000000009e-02 0.000000000000e+00 8.890666580200e+01
2.700000000000e+01 1.745209563614e+10 1.901739523258e+08 4.445365518075e+07 -1.005039902190e-02 3.889292485784e+03 2.722727864981e+06 0.000000000000e+00 1.600000000009e-02 1.600000000009e-02 0.000000000000e+00 3.611833298206e+01
2.800000000000e+01 1.744957466926e+10 1.926648063070e+08 4.444987070205e+07 -2.236736892199e-02 3.011391597659e+04 2.520967897148e+06 0.000000000000e+00 1.723584409327e-02 1.723584409327e-02 0.000000000000e+00 0.000000000000e+00
2.900000000000e+01 1.744723711716e+10 1.949968136222e+08 4.443574820956e+07 -2.092753186474e-02 5.544791899242e+03 2.337552107134e+06 0.000000000000e+00 2.150760036370e-02 2.150760036370e-02 0.000000000000e+00 0.000000000000e+00
3.000000000000e+01 1.744509287711e+10 1.971410536680e+08 4.440943701526e+07 -7.532571299425e-03 0.000000000000e+00 2.144240045789e+06 0.000000000000e+00 2.350760036370e-02 2.350760036370e-02 0.000000000000e+00 0.000000000000e+00
3.100000000000e+01 1.744314101772e+10 1.990929130614e+08 4.439179419662e+07 -7.123908592912e-03 0.000000000000e+00 1.951859393359e+06 0.000000000000e+00 2.550760036370e-02 2.550760036370e-02 0.000000000000e+00 0.000000000000e+00
3.200000000000e+01 1.744132204076e+10 2.009118900191e+08 4.438858759620e+07 -4.300641758024e-02 0.000000000000e+00 1.818976957728e+06 0.000000000000e+00 3.205205203653e-02 3.205205203653e-02 0.000000000000e+00 0.000000000000e+00
3.300000000000e+01 1.743962383376e+10 2.026100970248e+08 4.677722561759e+07 -7.901246351957e-02 0.000000000000e+00 1.698207005741e+06 0.000000000000e+00 3.305205203653e-02 3.305205203653e-02 0.000000000000e+00 4.312000083923e+01
3.400000000000e+01 1.743804237615e+10 2.041915546302e+08 4.676152835683e+07 -1.749620845039e-02 0.000000000000e+00 1.581457605322e+06 0.000000000000e+00 3.505205203653e-02 3.505205203653e-02 0.000000000000e+00 0.000000000000e+00
3.500000000000e+01 1.743655833229e+10 2.056755984936e+08 4.951308023558e+07 -5.327595688436e-02 0.000000000000e+00 1.484043863440e+06 0.000000000000e+00 3.605205203653e-02 3.605205203653e-02 0.000000000000e+00 4.965333175659e+01
3.600000000000e+01 1.743516617569e+10 2.070677550869e+08 4.952345853253e+07 -1.019550443088e-01 0.000000000000e+00 1.392156593336e+06 0.000000000000e+00 3.805205203653e-02 3.805205203653e-02 0.000000000000e+00 0.000000000000e+00
3.700000000000e+01 1.743385662987e+10 2.083773009083e+08 5.071822058950e+07 -1.965410953609e-01 0.000000000000e+00 1.309545821316e+06 0.000000000000e+00 4.005205203653e-02 4.005205203653e-02 0.000000000000e+00 2.120000012716e+01
3.800000000000e+01 1.743263789034e+10 2.095960404367e+08 5.069709542359e+07 -1.774663323298e-02 0.000000000000e+00 1.218739528398e+06 0.000000000000e+00 6.109767036000e-02 6.109767036001e-02 0.000000000000e+00 0.000000000000e+00
3.900000000000e+01 1.743149440332e+10 2.107395274616e+08 5.069114353557e+07 -3.993304912208e-02 0.000000000000e+00 1.143487024971e+06 0.000000000000e+00 6.333351445318e-02 6.333351445319e-02 0.000000000000e+00 0.000000000000e+00
4.000000000000e+01 1.743041284510e+10 2.118210856787e+08 5.601718677470e+07 -7.521630332805e-02 0.000000000000e+00 1.081558217062e+06 0.000000000000e+00 6.533351445318e-02 6.533351445319e-02 0.000000000000e+00 9.618666712443e+01
4.100000000000e+01 1.742939574982e+10 2.128381809598e+08 5.601120018390e+07 -1.874823654591e-02 0.000000000000e+00 1.017095281069e+06 0.000000000000e+00 6.960527072361e-02 6.960527072361e-02 0.000000000000e+00 0.000000000000e+00
4.200000000000e+01 1.742843617144e+10 2.137977593472e+08 5.601257857860e+07 -3.317319265905e-02 0.000000000000e+00 9.595783874221e+05 0.000000000000e+00 7.160527072361e-02 7.160527072361e-02 0.000000000000e+00 0.000000000000e+00
4.300000000000e+01 1.742753073522e+10 2.147031955585e+08 5.601577940614e+07 -6.223943126679e-02 0.000000000000e+00 9.054362112757e+05 0.000000000000e+00 7.814972239644e-02 7.814972239644e-02 0.000000000000e+00 0.000000000000e+00
4.400000000000e+01 1.742668050931e+10 2.155534214733e+08 5.600149582297e+07 -2.571899179259e-02 0.000000000000e+00 8.502259148015e+05 0.000000000000e+00 8.114972239644e-02 8.114972239644e-02 0.000000000000e+00 0.000000000000e+00
4.500000000000e+01 1.742588190053e+10 2.163520302568e+08 5.597715668402e+07 -1.740146998087e-02 0.000000000000e+00 7.986087835620e+05 0.000000000000e+00 8.414972239644e-02 8.414972239644e-02 0.000000000000e+00 0.000000000000e+00
4.600000000000e+01 1.742512846259e+10 2.171054681952e+08 5.596134994089e+07 -2.783397485371e-02 0.000000000000e+00 7.534379383371e+05 0.000000000000e+00 8.814972239653e-02 8.814972239653e-02 0.000000000000e+00 0.000000000000e+00
4.700000000000e+01 1.742441513985e+10 2.178187909360e+08 5.595402357504e+07 -5.316355139237e-02 0.000000000000e+00 7.133227408886e+05 0.000000000000e+00 9.038556648971e-02 9.038556648971e-02 0.000000000000e+00 0.000000000000e+00
4.800000000000e+01 1.742375465203e+10 2.184792787557e+08 5.589886536006e+07 1.716003774547e-04 0.000000000000e+00 6.604878196507e+05 0.000000000000e+00 1.310910701956e-01 1.310910701956e-01 0.000000000000e+00 0.000000000000e+00
4.900000000000e+01 1.742313831746e+10 2.190956133235e+08 5.585338897417e+07 -3.126074604959e-04 0.000000000000e+00 6.163345678510e+05 0.000000000000e+00 1.343628264660e-01 1.343628264660e-01 0.000000000000e+00 0.000000000000e+00
