# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: canopy-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-drainage
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy interception [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-interception
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow throughfall + canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-throughfall_drainage_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface evaporation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water throughfall + canopy drainage [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: canopy-throughfall_drainage_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: transpiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-transpiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: exfiltration [mol d^-1]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","canopy water content [mol]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","canopy evaporation [m d^-1]","canopy drainage [m d^-1]","canopy interception [m d^-1]","snow evaporation [m d^-1]","snowmelt [m d^-1]","snow throughfall + canopy drainage [m d^-1]","surface evaporation [m d^-1]","water throughfall + canopy drainage [m d^-1]","transpiration [m d^-1]","exfiltration [mol d^-1]"
2.940000000000e+02,0.000000000000e+00,2.141174657063e+05,0.000000000000e+00,1.909214691575e+01,3.170057890160e-03,0.000000000000e+00,0.000000000000e+00,8.695628736420e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.432890447243e-04,0.000000000000e+00,2.157205971794e-03,7.880897459835e+00
2.950000000000e+02,0.000000000000e+00,2.139714773876e+05,0.000000000000e+00,5.621600865452e+00,2.899252093987e-03,0.000000000000e+00,0.000000000000e+00,2.449190190964e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.654333074891e-03,0.000000000000e+00
2.960000000000e+02,0.000000000000e+00,2.138291040241e+05,0.000000000000e+00,1.759765924541e+00,2.658821793188e-03,0.000000000000e+00,0.000000000000e+00,7.021518074384e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.588606612444e-03,0.000000000000e+00
2.970000000000e+02,0.000000000000e+00,2.137133218167e+05,0.000000000000e+00,6.653173668176e-01,2.125033207259e-03,0.000000000000e+00,0.000000000000e+00,1.989906468589e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.292849435307e-04,0.000000000000e+00,1.975849199043e-03,7.110671894188e+00
2.980000000000e+02,0.000000000000e+00,2.136746713840e+05,0.000000000000e+00,4.359369136930e-01,7.069074948387e-04,0.000000000000e+00,0.000000000000e+00,4.170553693176e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.767319323771e-05,0.000000000000e+00,6.350637479078e-04,3.722025628074e+00
2.990000000000e+02,0.000000000000e+00,2.145366279627e+05,0.000000000000e+00,6.782447301307e+01,2.191188215070e-03,0.000000000000e+00,1.908837209302e-02,1.869416429300e-03,1.666538728613e-03,4.761201268811e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.217717857703e-04,1.599370955283e-02,0.000000000000e+00,-8.619565771880e+02
3.000000000000e+02,0.000000000000e+00,2.144673382678e+05,0.000000000000e+00,2.543149183695e+01,2.030594169901e-03,0.000000000000e+00,0.000000000000e+00,7.707814759295e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.259812693971e-03,0.000000000000e+00
3.010000000000e+02,0.000000000000e+00,2.144171309663e+05,0.000000000000e+00,1.316908511087e+01,1.135812883527e-03,0.000000000000e+00,0.000000000000e+00,2.229528495650e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.128600339622e-04,0.000000000000e+00
3.020000000000e+02,0.000000000000e+00,2.154309119909e+05,0.000000000000e+00,6.861673110527e+01,1.657153781010e-03,0.000000000000e+00,2.109767441860e-02,1.640677233415e-03,2.613857302227e-03,5.262673553722e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.647654759436e-05,1.844885816711e-02,0.000000000000e+00,-1.013780989073e+03
3.030000000000e+02,0.000000000000e+00,2.154250539589e+05,0.000000000000e+00,5.805701793260e+01,2.985040996628e-04,0.000000000000e+00,0.000000000000e+00,1.919947849575e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.604353259071e-05,0.000000000000e+00,3.046578211452e-05,4.182394292489e+00
3.040000000000e+02,0.000000000000e+00,2.159537224417e+05,0.000000000000e+00,6.785214237724e+01,2.265567092391e-03,0.000000000000e+00,1.205581395349e-02,1.934329427211e-03,8.949288552635e-04,3.007351454195e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.312376651802e-04,9.943391354557e-03,0.000000000000e+00,-5.286684529157e+02
3.050000000000e+02,0.000000000000e+00,2.158674597611e+05,0.000000000000e+00,2.312378333938e+01,2.381655080655e-03,0.000000000000e+00,0.000000000000e+00,8.132428915975e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.486532756561e-06,0.000000000000e+00,1.558925656301e-03,5.217593016109e-01
3.060000000000e+02,0.000000000000e+00,2.157460103162e+05,0.000000000000e+00,7.638051812528e+00,2.489730485605e-03,0.000000000000e+00,0.000000000000e+00,2.815587550337e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.208171730572e-03,0.000000000000e+00
3.070000000000e+02,0.000000000000e+00,2.156150022109e+05,0.000000000000e+00,2.535415256317e+00,2.474740762972e-03,0.000000000000e+00,0.000000000000e+00,9.277521011294e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.381965552859e-03,0.000000000000e+00
3.080000000000e+02,0.000000000000e+00,2.155461823519e+05,0.000000000000e+00,1.245744309452e+00,1.274718729596e-03,0.000000000000e+00,0.000000000000e+00,2.344856267026e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.251270166926e-03,0.000000000000e+00
3.090000000000e+02,0.000000000000e+00,2.157221955034e+05,0.000000000000e+00,3.155008210250e+01,2.276679902336e-03,0.000000000000e+00,6.027906976744e-03,9.528206757581e-04,0.000000000000e+00,1.503808635632e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.287402994448e-04,4.524098341112e-03,1.095118927133e-03,-2.362446922917e+02
3.100000000000e+02,0.000000000000e+00,2.156137518645e+05,0.000000000000e+00,1.159107123447e+01,2.334594614099e-03,0.000000000000e+00,0.000000000000e+00,3.628911066914e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.087189646171e-04,0.000000000000e+00,1.762984542791e-03,1.147954305394e+01
3.110000000000e+02,0.000000000000e+00,2.154941560291e+05,0.000000000000e+00,4.038665810014e+00,2.311786199498e-03,0.000000000000e+00,0.000000000000e+00,1.373164622629e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.174469737235e-03,0.000000000000e+00
3.120000000000e+02,0.000000000000e+00,2.153625192741e+05,0.000000000000e+00,1.358523772040e+00,2.442125403193e-03,0.000000000000e+00,0.000000000000e+00,4.872985523589e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.393395547958e-03,0.000000000000e+00
3.130000000000e+02,0.000000000000e+00,2.152280362693e+05,0.000000000000e+00,4.549784588971e-01,2.461573640992e-03,0.000000000000e+00,0.000000000000e+00,1.642809660260e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.445145544390e-03,0.000000000000e+00
3.140000000000e+02,0.000000000000e+00,2.151107703963e+05,0.000000000000e+00,1.671458660355e-01,2.137340103955e-03,0.000000000000e+00,0.000000000000e+00,5.233319870211e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.132106784085e-03,0.000000000000e+00
3.150000000000e+02,0.000000000000e+00,2.149538774222e+05,0.000000000000e+00,5.602257409947e-02,2.854610155019e-03,0.000000000000e+00,0.000000000000e+00,2.020423489746e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.894442325280e-04,0.000000000000e+00,2.463145499001e-03,2.141943278904e+01
3.160000000000e+02,0.000000000000e+00,2.148293839633e+05,0.000000000000e+00,2.034157446928e-02,2.264166166041e-03,0.000000000000e+00,0.000000000000e+00,6.487454478215e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.128236941272e-05,0.000000000000e+00,2.182235051180e-03,4.470530317700e+00
3.170000000000e+02,0.000000000000e+00,2.147077872703e+05,0.000000000000e+00,7.331854895785e-03,2.211085506514e-03,0.000000000000e+00,0.000000000000e+00,2.365403558818e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.210848966159e-03,0.000000000000e+00
3.180000000000e+02,0.000000000000e+00,2.145855322877e+05,0.000000000000e+00,2.635893891537e-03,2.222903249515e-03,0.000000000000e+00,0.000000000000e+00,8.538110916813e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.222817868406e-03,0.000000000000e+00
3.190000000000e+02,0.000000000000e+00,2.145577930598e+05,0.000000000000e+00,1.877832214167e-03,5.043633777674e-04,0.000000000000e+00,0.000000000000e+00,1.378293958854e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.043495948278e-04,0.000000000000e+00
3.200000000000e+02,0.000000000000e+00,2.150154441280e+05,0.000000000000e+00,6.907222809325e+01,4.697592009148e-04,0.000000000000e+00,1.004651162791e-02,4.595559907997e-04,7.913487125175e-04,2.506729253518e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.020321011512e-05,8.331131086907e-03,0.000000000000e+00,-4.576510332235e+02
3.210000000000e+02,0.000000000000e+00,2.157622819271e+05,0.000000000000e+00,7.003162466122e+01,1.473454795914e-03,0.000000000000e+00,1.506976744186e-02,8.780552872547e-04,2.864473232098e-03,3.759972093315e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.953995086598e-04,1.417426858064e-02,0.000000000000e+00,-7.468377989591e+02
3.220000000000e+02,0.000000000000e+00,2.161074363336e+05,0.000000000000e+00,6.899134688983e+01,7.759378426125e-04,0.000000000000e+00,7.032558139535e-03,4.716839766874e-04,1.301826225600e-03,1.754595867654e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.042538659251e-04,6.579788497481e-03,0.000000000000e+00,-3.451544047356e+02
