# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: irrigation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff [mol d^-1]","runoff subsurface [mol d^-1]","irrigation [m d^-1]"
3.291666666667e+00,5.641209150946e+06,8.112924789731e+07,0.000000000000e+00,1.054718730171e+02,0.000000000000e+00
3.333333333333e+00,5.641189553813e+06,8.112916207282e+07,0.000000000000e+00,1.054216317657e+02,0.000000000000e+00
3.375000000000e+00,5.641169957129e+06,8.112907629824e+07,0.000000000000e+00,1.053712677155e+02,0.000000000000e+00
3.416666666667e+00,5.641150360881e+06,8.112899057371e+07,0.000000000000e+00,1.053207854793e+02,0.000000000000e+00
3.458333333333e+00,5.641130765060e+06,8.112890489934e+07,0.000000000000e+00,1.052701896862e+02,0.000000000000e+00
3.500000000000e+00,5.641111169659e+06,8.112881927526e+07,0.000000000000e+00,1.052194849762e+02,0.000000000000e+00
3.541666666667e+00,5.641091574672e+06,8.112873370157e+07,0.000000000000e+00,1.051686759962e+02,0.000000000000e+00
3.583333333333e+00,5.641071980093e+06,8.112864817838e+07,0.000000000000e+00,1.051177673946e+02,0.000000000000e+00
3.625000000000e+00,5.641052385917e+06,8.112856270580e+07,0.000000000000e+00,1.050667638180e+02,0.000000000000e+00
3.666666666667e+00,5.641032792142e+06,8.112847728391e+07,0.000000000000e+00,1.050156616783e+02,0.000000000000e+00
3.708333333333e+00,5.641013198767e+06,8.112839191283e+07,0.000000000000e+00,1.049644550996e+02,0.000000000000e+00
3.750000000000e+00,5.640993605789e+06,8.112830659266e+07,0.000000000000e+00,1.049131527285e+02,0.000000000000e+00
3.791666666667e+00,5.640974013209e+06,8.112822132348e+07,0.000000000000e+00,1.048617599681e+02,0.000000000000e+00
3.833333333333e+00,5.640954421058e+06,8.112813635422e+07,0.000000000000e+00,1.048102814777e+02,0.000000000000e+00
3.875000000000e+00,5.640934829307e+06,8.112805140636e+07,0.000000000000e+00,1.047587216267e+02,0.000000000000e+00
3.916666666667e+00,5.640915237959e+06,8.112796648356e+07,0.000000000000e+00,1.047070846895e+02,0.000000000000e+00
3.958333333333e+00,5.640895647016e+06,8.112788158928e+07,0.000000000000e+00,1.046553749245e+02,0.000000000000e+00
4.000000000000e+00,5.640876056482e+06,8.112779672640e+07,0.000000000000e+00,1.046035966022e+02,0.000000000000e+00
