# Observation File: observation_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water flux [mol]
# Region: observation region
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# =============================================================================
"time [d]","water flux [mol]"
1.650001356231e+00,1.475717315798e-15
1.662038418383e+00,1.475717351628e-15
1.674075480536e+00,1.475717387459e-15
1.686112542688e+00,1.475717423298e-15
1.698149604840e+00,1.475717459129e-15
1.710186666993e+00,1.475717494956e-15
1.722223729145e+00,1.475717530795e-15
1.734260791298e+00,1.475717566788e-15
1.746297853450e+00,1.475717602627e-15
1.758334915602e+00,1.475717638289e-15
1.770371977755e+00,1.475717674297e-15
1.782409039907e+00,1.475717710127e-15
1.794446102060e+00,1.475717745955e-15
1.806483164212e+00,1.475717781785e-15
1.818520226365e+00,1.475717817625e-15
1.830557288517e+00,1.475717853455e-15
1.842594350669e+00,1.475717889291e-15
1.854631412822e+00,1.475717925119e-15
1.866668474974e+00,1.475717960958e-15
1.878705537127e+00,1.475717996788e-15
1.890742599279e+00,1.475718032628e-15
1.902779661432e+00,1.475718068623e-15
1.914816723584e+00,1.475718104454e-15
1.926853785736e+00,1.475718140281e-15
1.938890847889e+00,1.475718176120e-15
1.950927910041e+00,1.475718211951e-15
1.962964972194e+00,1.475718247614e-15
1.975002034346e+00,1.475718282787e-15
1.987039096498e+00,1.475718316796e-15
1.993519548249e+00,1.475718334549e-15
2.000000000000e+00,1.475718351305e-15
2.012037062152e+00,1.475718372702e-15
2.024074124305e+00,1.475718362426e-15
2.036111186457e+00,1.475718242333e-15
2.048148248610e+00,1.475717691464e-15
2.060185310762e+00,1.475715796997e-15
2.072222372915e+00,1.475708750784e-15
2.084259435067e+00,1.475682670513e-15
2.096296497219e+00,1.475591327704e-15
2.108333559372e+00,1.475293239008e-15
2.120370621524e+00,1.474386159873e-15
2.132407683677e+00,1.471780470806e-15
2.144444745829e+00,1.464527301814e-15
2.156481807981e+00,1.444095580291e-15
2.168518870134e+00,1.382600485997e-15
2.180555932286e+00,1.177063488631e-15
2.192592994439e+00,3.953438786180e-16
2.204630056591e+00,-1.977572947679e-15
2.216667118744e+00,-1.084629861896e-14
2.228704180896e+00,-4.330989351086e-14
2.240741243048e+00,-1.540773805690e-13
2.252778305201e+00,-5.040658095059e-13
2.264815367353e+00,-1.532700070917e-12
2.276852429506e+00,-4.389771834332e-12
2.288889491658e+00,-1.213183720061e-11
2.300926553811e+00,-3.367489020333e-11
2.312963615963e+00,-9.892379361424e-11
2.325000678115e+00,-3.206890134817e-10
2.337037740268e+00,-1.148330065557e-09
2.349074802420e+00,-4.354007599875e-09
2.361111864573e+00,-1.652748859324e-08
2.373148926725e+00,-6.012591337007e-08
2.385185988877e+00,-2.044908615161e-07
2.397223051030e+00,-6.433173754580e-07
2.409260113182e+00,-1.867070630223e-06
2.421297175335e+00,-5.002214272768e-06
2.436343503025e+00,-1.566381707508e-05
2.451389830716e+00,-4.258952900677e-05
2.466436158406e+00,-1.004849256111e-04
2.481482486097e+00,-2.069848965811e-04
2.496528813787e+00,-3.798898864736e-04
2.511575141478e+00,-6.372459385180e-04
2.526621469168e+00,-9.971729279012e-04
2.541667796859e+00,-1.475754631157e-03
2.556714124549e+00,-2.084454156886e-03
2.571760452240e+00,-2.828314643639e-03
2.586806779930e+00,-3.705420153315e-03
2.601853107621e+00,-4.707575644045e-03
2.616899435312e+00,-5.821680493411e-03
2.631945763002e+00,-7.031198128183e-03
2.646992090693e+00,-8.317693459705e-03
2.662038418383e+00,-9.662471345927e-03
2.677084746074e+00,-1.104793315399e-02
2.692131073764e+00,-1.245837425352e-02
2.707177401455e+00,-1.388025696986e-02
2.722223729145e+00,-1.530213332109e-02
2.737270056836e+00,-1.671440444156e-02
2.752316384526e+00,-1.810905351745e-02
2.767362712217e+00,-1.947940419293e-02
2.782409039907e+00,-2.081990877801e-02
2.797455367598e+00,-2.212599306174e-02
2.812501695288e+00,-2.339397647931e-02
2.827548022979e+00,-2.462103809827e-02
2.842594350669e+00,-2.580518314190e-02
2.857640678360e+00,-2.694518184350e-02
2.872687006050e+00,-2.804047539544e-02
2.887733333741e+00,-2.909106027552e-02
2.902779661432e+00,-3.009736791424e-02
2.917825989122e+00,-3.106015182107e-02
2.932872316813e+00,-3.198038868620e-02
2.947918644503e+00,-3.285920011772e-02
2.962964972194e+00,-3.369779957330e-02
2.978011299884e+00,-3.449746226932e-02
2.993057627575e+00,-3.525951048536e-02
3.000000000000e+00,-3.560466903073e-02
3.015046327691e+00,-3.631413618712e-02
3.030092655381e+00,-3.698930043388e-02
3.045138983072e+00,-3.763160747576e-02
3.060185310762e+00,-3.824250032662e-02
3.075231638453e+00,-3.882340318186e-02
3.090277966143e+00,-3.937570693435e-02
3.105324293834e+00,-3.990075778443e-02
3.120370621524e+00,-4.039985013835e-02
3.135416949215e+00,-4.087422391752e-02
3.150463276905e+00,-4.132506532132e-02
3.165509604596e+00,-4.175350953485e-02
3.180555932286e+00,-4.216064394339e-02
3.195602259977e+00,-4.254751088701e-02
3.210648587667e+00,-4.291510950911e-02
3.225694915358e+00,-4.326439663425e-02
3.240741243048e+00,-4.359628691404e-02
3.255787570739e+00,-4.391165270390e-02
3.270833898429e+00,-4.421132417405e-02
3.285880226120e+00,-4.449609000111e-02
3.300926553811e+00,-4.476669873247e-02
3.315972881501e+00,-4.502386068983e-02
3.331019209192e+00,-4.526825015821e-02
3.346065536882e+00,-4.550050760134e-02
3.361111864573e+00,-4.572124170527e-02
3.376158192263e+00,-4.593103113587e-02
3.391204519954e+00,-4.613042598601e-02
3.406250847644e+00,-4.631994897222e-02
3.421297175335e+00,-4.650009649039e-02
3.436343503025e+00,-4.667133964411e-02
3.451389830716e+00,-4.683412532277e-02
3.466436158406e+00,-4.698887735546e-02
3.481482486097e+00,-4.713599772137e-02
3.496528813787e+00,-4.727586777276e-02
3.511575141478e+00,-4.740884942092e-02
3.526621469168e+00,-4.753528624351e-02
3.541667796859e+00,-4.765550448938e-02
3.556714124549e+00,-4.776981397824e-02
3.571760452240e+00,-4.787850891134e-02
3.586806779930e+00,-4.798186861931e-02
3.601853107621e+00,-4.808015827337e-02
3.616899435312e+00,-4.817362957776e-02
3.631945763002e+00,-4.826252145135e-02
3.646992090693e+00,-4.834706069663e-02
3.662038418383e+00,-4.842746264879e-02
3.677084746074e+00,-4.850393179551e-02
3.692131073764e+00,-4.857666235973e-02
3.707177401455e+00,-4.864583884114e-02
3.722223729145e+00,-4.871163651739e-02
3.737270056836e+00,-4.877422190950e-02
3.752316384526e+00,-4.883375321824e-02
3.767362712217e+00,-4.889038073772e-02
3.782409039907e+00,-4.894424725094e-02
3.797455367598e+00,-4.899548840988e-02
3.812501695288e+00,-4.904423310055e-02
3.827548022979e+00,-4.909060379218e-02
3.842594350669e+00,-4.913471686903e-02
3.857640678360e+00,-4.917668294398e-02
3.872687006050e+00,-4.921660715335e-02
3.887733333741e+00,-4.925458943394e-02
3.902779661432e+00,-4.929072478364e-02
