# Observation File: surface_total_concentration_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface total concentration
# Region: east conc
# Functional: average
# Variable: surface-total_component_concentration
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface total concentration"
9.417600000000e+06 8.415322794664e-07 2.680338808739e-05 1.373720928629e-05 1.214515757709e-05
9.504000000000e+06 8.323351782873e-07 2.680195700425e-05 1.380362099161e-05 1.208095810689e-05
9.590400000000e+06 8.225322510973e-07 2.680154878751e-05 1.387518067715e-05 1.201285505101e-05
9.676800000000e+06 8.152130408347e-07 2.696187361382e-05 1.403919228655e-05 1.200936625596e-05
9.763200000000e+06 8.040434236339e-07 2.706755387411e-05 1.419517138853e-05 1.196176858094e-05
9.849600000000e+06 7.849132972577e-07 2.697874536759e-05 1.427876200547e-05 1.179862769862e-05
9.936000000000e+06 7.620082068542e-07 2.679059744065e-05 1.432519161001e-05 1.157664753551e-05
1.002240000000e+07 7.393559996541e-07 2.659243549881e-05 1.436560743578e-05 1.135088195811e-05
1.010880000000e+07 7.191555006736e-07 2.646009576012e-05 1.443518842319e-05 1.115980485216e-05
1.019520000000e+07 7.071006313722e-07 2.650582413741e-05 1.456638217844e-05 1.107892916646e-05
1.028160000000e+07 6.962647033136e-07 2.648183780158e-05 1.464091344393e-05 1.098570219392e-05
1.036800000000e+07 6.856154627456e-07 2.646383910414e-05 1.471936657903e-05 1.089443005273e-05
1.045440000000e+07 6.723962350888e-07 2.641921585200e-05 1.480036860218e-05 1.077555115163e-05
1.054080000000e+07 6.561986498370e-07 2.627164668616e-05 1.483589654683e-05 1.060228678931e-05
1.062720000000e+07 6.394059443240e-07 2.608295604327e-05 1.484941003827e-05 1.041094149531e-05
1.071360000000e+07 6.225487162806e-07 2.587989018134e-05 1.485414471516e-05 1.021430033684e-05
1.080000000000e+07 6.060594629455e-07 2.568178218862e-05 1.486046352584e-05 1.002085173604e-05
1.088640000000e+07 6.602199396868e-07 2.930635603948e-05 1.700064303326e-05 1.142553060131e-05
1.097280000000e+07 6.599352351108e-07 2.928728827801e-05 1.702226360904e-05 1.138702731895e-05
1.105920000000e+07 6.540182383102e-07 2.918588014687e-05 1.702465682750e-05 1.128880034705e-05
1.114560000000e+07 6.466169767615e-07 2.906356592542e-05 1.702023725963e-05 1.117723691466e-05
1.123200000000e+07 6.397106697083e-07 2.895020138437e-05 1.701434924490e-05 1.107553213171e-05
1.131840000000e+07 6.340420724698e-07 2.885748135609e-05 1.700865870114e-05 1.099317633620e-05
1.140480000000e+07 6.296536328908e-07 2.878622625893e-05 1.700337944487e-05 1.093074355402e-05
1.149120000000e+07 6.269721988276e-07 2.874307260620e-05 1.699971288686e-05 1.089337701003e-05
1.157760000000e+07 6.301542544781e-07 2.879351495945e-05 1.700557417145e-05 1.093556397003e-05
1.166400000000e+07 6.366318421170e-07 2.889606947414e-05 1.701694399375e-05 1.102185182871e-05
1.175040000000e+07 6.428197244913e-07 2.899366812816e-05 1.702773714681e-05 1.110399566894e-05
1.183680000000e+07 6.472825594887e-07 2.906383186575e-05 1.703551024181e-05 1.116303578646e-05
1.192320000000e+07 6.498172440671e-07 2.910358132397e-05 1.703994905566e-05 1.119645016570e-05
1.200960000000e+07 6.506416903555e-07 2.911645927934e-05 1.704145321284e-05 1.120721316403e-05
