# Observation File: surface_free_ion_species_crunch.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface free concentration
# Region: east conc
# Functional: average
# Variable: surface-free_ion_species
# Number of Vectors: 4
# =============================================================================
"time [s]" "surface free concentration"
9.417600000000e+06 1.971898225948e-08 1.413775341876e-03 7.484467682561e-04 6.740562455284e-04
9.504000000000e+06 1.957059239490e-08 1.413984449983e-03 7.520347446765e-04 6.704931749325e-04
9.590400000000e+06 1.941243193950e-08 1.414264334936e-03 7.558998403233e-04 6.667134553311e-04
9.676800000000e+06 1.922767520713e-08 1.423018303965e-03 7.647181518282e-04 6.665198272059e-04
9.763200000000e+06 1.900734891922e-08 1.428973159205e-03 7.731133815700e-04 6.638781562420e-04
9.849600000000e+06 1.874089497664e-08 1.424811871932e-03 7.776467277248e-04 6.548238372732e-04
9.936000000000e+06 1.845289957785e-08 1.415468986784e-03 7.801983273830e-04 6.425039382207e-04
1.002240000000e+07 1.817080155606e-08 1.405575872942e-03 7.824279059237e-04 6.299739486750e-04
1.010880000000e+07 1.790172459994e-08 1.399100915836e-03 7.862156037355e-04 6.193691692951e-04
1.019520000000e+07 1.769760554463e-08 1.401851456836e-03 7.932847491364e-04 6.148805687384e-04
1.028160000000e+07 1.753799091382e-08 1.400861367121e-03 7.973134202750e-04 6.097064717626e-04
1.036800000000e+07 1.737984023195e-08 1.400179409593e-03 8.015520518801e-04 6.046408679268e-04
1.045440000000e+07 1.719122964555e-08 1.398147126329e-03 8.059335746764e-04 5.980430889152e-04
1.054080000000e+07 1.698984148031e-08 1.390722472048e-03 8.078878282577e-04 5.884269168069e-04
1.062720000000e+07 1.679103619478e-08 1.381124970475e-03 8.086650774809e-04 5.778072529900e-04
1.071360000000e+07 1.659391413715e-08 1.370761354415e-03 8.089718909684e-04 5.668936686947e-04
1.080000000000e+07 1.639922780860e-08 1.360645805849e-03 8.093626984979e-04 5.561572713503e-04
1.088640000000e+07 1.623873965248e-08 1.551148436018e-03 9.236967145641e-04 6.341169483728e-04
1.097280000000e+07 1.624387013564e-08 1.550106204108e-03 9.248880389929e-04 6.319800162014e-04
1.105920000000e+07 1.619172135507e-08 1.544845896556e-03 9.250601971787e-04 6.265284192615e-04
1.114560000000e+07 1.612360495836e-08 1.538518163317e-03 9.248678462886e-04 6.203366487638e-04
1.123200000000e+07 1.605917387197e-08 1.532656507950e-03 9.245914414382e-04 6.146920333100e-04
1.131840000000e+07 1.600579508499e-08 1.527863550279e-03 9.243174356867e-04 6.101212866589e-04
1.140480000000e+07 1.596401030653e-08 1.524181999170e-03 9.240571715783e-04 6.066562672480e-04
1.149120000000e+07 1.593822166913e-08 1.521953559523e-03 9.238737713585e-04 6.045824240564e-04
1.157760000000e+07 1.596926768349e-08 1.524554879122e-03 9.241742958397e-04 6.069238003365e-04
1.166400000000e+07 1.603220524358e-08 1.529843615701e-03 9.247554299031e-04 6.117127764932e-04
1.175040000000e+07 1.609214791618e-08 1.534875491522e-03 9.253069699086e-04 6.162717596263e-04
1.183680000000e+07 1.613527837478e-08 1.538492090940e-03 9.257042187513e-04 6.195484861486e-04
1.192320000000e+07 1.615974521443e-08 1.540540603055e-03 9.259311856905e-04 6.214029841963e-04
1.200960000000e+07 1.616771602945e-08 1.541204059397e-03 9.260083250093e-04 6.220003306039e-04
1.209600000000e+07 1.616264912641e-08 1.540773202573e-03 9.259671581076e-04 6.216042410525e-04
1.218240000000e+07 1.614813761206e-08 1.539549965540e-03 9.258399541286e-04 6.204891969693e-04
1.226880000000e+07 1.612730801103e-08 1.537797235630e-03 9.256546398999e-04 6.188944006814e-04
1.235520000000e+07 1.610260948747e-08 1.535720656543e-03 9.254330813512e-04 6.170069533298e-04
1.244160000000e+07 1.607584526833e-08 1.533471740748e-03 9.251914733753e-04 6.149646133831e-04
1.252800000000e+07 1.604833977213e-08 1.531161525420e-03 9.249418108693e-04 6.128681953155e-04
1.261440000000e+07 1.602110273835e-08 1.528874690841e-03 9.246933618105e-04 6.107944434461e-04
