# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff surface [mol d^-1]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: runoff subsurface [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: integral
# Variable: surface-water_source
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","runoff surface [mol d^-1]","runoff subsurface [mol d^-1]","rain precipitation [m d^-1]"
2.339596395840e+02,1.502656617010e+06,9.133877365107e+07,0.000000000000e+00,1.149370434411e+03,1.256727927116e-01
2.368687320079e+02,1.522640852514e+06,9.132454302275e+07,0.000000000000e+00,1.158643477949e+03,1.256727927116e-01
2.397778244318e+02,1.542676404309e+06,9.131025062248e+07,0.000000000000e+00,1.168168408907e+03,1.256727927116e-01
2.434141899617e+02,1.567715370894e+06,9.129237628474e+07,0.000000000000e+00,1.475599679279e+03,1.570909908895e-01
2.479596468740e+02,1.598941070340e+06,9.127008001790e+07,0.000000000000e+00,1.869587721003e+03,1.963637386119e-01
2.550619232995e+02,1.647463129825e+06,9.123544508559e+07,0.000000000000e+00,2.986708387723e+03,3.068183415811e-01
2.586130615122e+02,1.671656976044e+06,9.121817844825e+07,0.000000000000e+00,1.510294325516e+03,1.534091707906e-01
2.621641997249e+02,1.695782061064e+06,9.120096285188e+07,0.000000000000e+00,1.527810193859e+03,1.534091707906e-01
2.657153379377e+02,1.719835311524e+06,9.118380118628e+07,0.000000000000e+00,1.545909026176e+03,1.534091707906e-01
2.701542607036e+02,1.749781322701e+06,9.116243746900e+07,0.000000000000e+00,1.961787244077e+03,1.917614634882e-01
2.729285874323e+02,1.768451161852e+06,9.114912026211e+07,0.000000000000e+00,1.237880550894e+03,1.198509146801e-01
2.757029141610e+02,1.787073244602e+06,9.113583933061e+07,0.000000000000e+00,1.249914070086e+03,1.198509146801e-01
2.784772408897e+02,1.805652347437e+06,9.112259157463e+07,0.000000000000e+00,1.262209685375e+03,1.198509146801e-01
2.812515676184e+02,1.824186565120e+06,9.110937695833e+07,0.000000000000e+00,1.274757215519e+03,1.198509146801e-01
2.847194760293e+02,1.847274967558e+06,9.109291215686e+07,0.000000000000e+00,1.613507739916e+03,1.498136433502e-01
2.890543615429e+02,1.876025834985e+06,9.107241407656e+07,0.000000000000e+00,2.049025878862e+03,1.872670541877e-01
2.924409908504e+02,1.898420149453e+06,9.105644989261e+07,0.000000000000e+00,1.620774497620e+03,1.463023860841e-01
2.958276201579e+02,1.920738507822e+06,9.104053604349e+07,0.000000000000e+00,1.641062668706e+03,1.463023860841e-01
2.992142494654e+02,1.942989602912e+06,9.102467260981e+07,0.000000000000e+00,1.661629748079e+03,1.463023860841e-01
3.026008787729e+02,1.965161888694e+06,9.100885936897e+07,0.000000000000e+00,1.682439372658e+03,1.463023860841e-01
3.059875080804e+02,1.987268516378e+06,9.099309592588e+07,0.000000000000e+00,1.703455676111e+03,1.463023860841e-01
3.102207947148e+02,2.014788736295e+06,9.097346883208e+07,0.000000000000e+00,2.162470057831e+03,1.828779826052e-01
3.144540813492e+02,2.042201218520e+06,9.095391791890e+07,0.000000000000e+00,2.195872299221e+03,1.828779826052e-01
3.186873679836e+02,2.069508315230e+06,9.093444239945e+07,0.000000000000e+00,2.229458378770e+03,1.828779826052e-01
3.239789762766e+02,2.103464439617e+06,9.091021565433e+07,0.000000000000e+00,2.839504561390e+03,2.285974782565e-01
3.292705845695e+02,2.137248676201e+06,9.088610615154e+07,0.000000000000e+00,2.892310726304e+03,2.285974782565e-01
3.345621928625e+02,2.170863526996e+06,9.086211173241e+07,0.000000000000e+00,2.945155547507e+03,2.285974782565e-01
3.372079970090e+02,2.187631372350e+06,9.085014053911e+07,0.000000000000e+00,1.485801076410e+03,1.142987391282e-01
3.398538011555e+02,2.204364728477e+06,9.083819566304e+07,0.000000000000e+00,1.499023349014e+03,1.142987391282e-01
3.424996053020e+02,2.221056298208e+06,9.082627667898e+07,0.000000000000e+00,1.512240273246e+03,1.142987391282e-01
3.458068604851e+02,2.241862158290e+06,9.081141815386e+07,0.000000000000e+00,1.910928399278e+03,1.428734239103e-01
3.499409294640e+02,2.267773788889e+06,9.079290829959e+07,0.000000000000e+00,2.420830930553e+03,1.785917798879e-01
3.540749984428e+02,2.293588981701e+06,9.077446177548e+07,0.000000000000e+00,2.452943222686e+03,1.785917798879e-01
3.582090674217e+02,2.319304262560e+06,9.075607699192e+07,0.000000000000e+00,2.484983711061e+03,1.785917798879e-01
3.623431364006e+02,2.344926898267e+06,9.073775521209e+07,0.000000000000e+00,2.516932362853e+03,1.785917798879e-01
3.675107226242e+02,2.376815747165e+06,9.071495001497e+07,0.000000000000e+00,3.195875710101e+03,2.232397248598e-01
3.726783088478e+02,2.408568206422e+06,9.069223974769e+07,0.000000000000e+00,3.245401652101e+03,2.232397248598e-01
3.778458950714e+02,2.440175332832e+06,9.066962351823e+07,0.000000000000e+00,3.294761099215e+03,2.232397248598e-01
3.810756364612e+02,2.459876855383e+06,9.065552418114e+07,0.000000000000e+00,2.078484396119e+03,1.395248280374e-01
3.843053778509e+02,2.479517856412e+06,9.064145972337e+07,0.000000000000e+00,2.097713850679e+03,1.395248280374e-01
3.875351192407e+02,2.499108406255e+06,9.062742840189e+07,0.000000000000e+00,2.116914912056e+03,1.395248280374e-01
3.907648606305e+02,2.518646733191e+06,9.061342989787e+07,0.000000000000e+00,2.136088057597e+03,1.395248280374e-01
3.948020373676e+02,2.542985666690e+06,9.059598359653e+07,0.000000000000e+00,2.699968347656e+03,1.744060350467e-01
3.998485082891e+02,2.573279145938e+06,9.057425735367e+07,0.000000000000e+00,3.421374298587e+03,2.180075438084e-01
4.048949792106e+02,2.603456653421e+06,9.055260871669e+07,0.000000000000e+00,3.467554430242e+03,2.180075438084e-01
4.099414501321e+02,2.633508073649e+06,9.053103514072e+07,0.000000000000e+00,3.513493352380e+03,2.180075438084e-01
4.149879210536e+02,2.663440296448e+06,9.050953700353e+07,0.000000000000e+00,3.559175597321e+03,2.180075438084e-01
4.212960097055e+02,2.700660051748e+06,9.048277894552e+07,0.000000000000e+00,4.519748045456e+03,2.725094297605e-01
4.276040983573e+02,2.737702496200e+06,9.045613818792e+07,0.000000000000e+00,4.589898479181e+03,2.725094297605e-01
4.339121870092e+02,2.774563735065e+06,9.042961290084e+07,0.000000000000e+00,4.659378528539e+03,2.725094297605e-01
4.402202756611e+02,2.811232748004e+06,9.040320280135e+07,0.000000000000e+00,4.728147539617e+03,2.725094297605e-01
4.433743199870e+02,2.829515148489e+06,9.039002600519e+07,0.000000000000e+00,2.381196132807e+03,1.362547148803e-01
4.473168753944e+02,2.852299041568e+06,9.037359980305e+07,0.000000000000e+00,3.003072212494e+03,1.703183936003e-01
4.522450696537e+02,2.880687065708e+06,9.035313802227e+07,0.000000000000e+00,3.794890020156e+03,2.128979920004e-01
4.560952214187e+02,2.902793320021e+06,9.033719566331e+07,0.000000000000e+00,2.989606373958e+03,1.663265562503e-01
4.599453731838e+02,2.924832177509e+06,9.032129717686e+07,0.000000000000e+00,3.014254692481e+03,1.663265562503e-01
4.637955249488e+02,2.946796602043e+06,9.030544213125e+07,0.000000000000e+00,3.038714181072e+03,1.663265562503e-01
4.676456767139e+02,2.968707308674e+06,9.028962883867e+07,0.000000000000e+00,3.062994648785e+03,1.663265562503e-01
4.724583664202e+02,2.995971627644e+06,9.026993070042e+07,0.000000000000e+00,3.866336669835e+03,2.079081953129e-01
4.784742285531e+02,3.029901538124e+06,9.024541347045e+07,0.000000000000e+00,4.891002017448e+03,2.598852441411e-01
