# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface runoff [mol d^-1]
# Region: outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface seepage [mol d^-1]
# Region: lakeside
# Reduction: extensive integral
# Variable: water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","surface runoff [mol d^-1]","subsurface seepage [mol d^-1]","evapotranspiration [m d^-1]","snow precipitation [m d^-1]","snow melt [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]"
3.870000000000e+02,0.000000000000e+00,1.227157366536e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.729002084164e+06,1.142144268117e+08,9.393488372093e+05
3.880000000000e+02,0.000000000000e+00,1.226586362512e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728990706726e+06,1.142021723267e+08,9.393488372093e+05
3.890000000000e+02,0.000000000000e+00,1.225997550901e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728979056229e+06,1.141899240028e+08,9.393488372093e+05
3.900000000000e+02,0.000000000000e+00,1.225392020079e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728967143407e+06,1.141776819965e+08,9.393488372093e+05
3.910000000000e+02,0.000000000000e+00,1.224770739834e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728954978199e+06,1.141654464552e+08,9.393488372093e+05
3.920000000000e+02,0.000000000000e+00,1.224134584049e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728942569834e+06,1.141532175187e+08,9.393488372093e+05
3.930000000000e+02,0.000000000000e+00,1.223484347474e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728929926913e+06,1.141409953190e+08,9.393488372093e+05
3.940000000000e+02,0.000000000000e+00,1.222820758099e+04,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,5.728917057436e+06,1.141287799817e+08,1.049860465116e+06
3.950000000000e+02,0.000000000000e+00,1.222144486989e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.728903968859e+06,1.141165716262e+08,1.049860465116e+06
3.960000000000e+02,0.000000000000e+00,1.221456155965e+04,0.000000000000e+00,4.018604651163e-03,0.000000000000e+00,0.000000000000e+00,5.728890668137e+06,1.141043703661e+08,1.160372093023e+06
