# Observation File: water_balance.csv column names:
# -----------------------------------------------------------------------------
# Observation Name: time [h]
# -----------------------------------------------------------------------------
# Observation Name: runoff generation [mol s^-1]
# Region: surface domain boundary
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake ponded depth [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: gate intake stage [m]
# Region: gate intake area
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond ponded depth [m]
# Region: detention pond
# Reduction: average
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: detention pond stage [m]
# Region: detention pond
# Reduction: average
# Variable: surface-pres_elev
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation [m s^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-water_source_rain
# Number of Vectors: 1
# =============================================================================
"time [h]","runoff generation [mol s^-1]","gate intake ponded depth [m]","gate intake stage [m]","detention pond ponded depth [m]","detention pond stage [m]","surface water content [mol]","subsurface water content [mol]","precipitation [m s^-1]"
1.000000000000e+00,2.228243995205e+01,3.299402317391e-03,8.248955240910e+00,1.497847861672e-03,7.341174786983e+00,3.620136502976e+06,2.802403110443e+10,1.332241767793e-07
1.100000000000e+00,2.740057628276e+01,5.025096268742e-03,8.250680934861e+00,1.689285289376e-03,7.341366224411e+00,2.715667019828e+07,2.802422525483e+10,6.661208838967e-06
1.200000000000e+00,3.851348682102e+01,1.256563959494e-02,8.258221478187e+00,1.882855889766e-03,7.341559795011e+00,5.078662474787e+07,2.802432198373e+10,6.661208838967e-06
1.300000000000e+00,8.621437405051e+01,2.823542099219e-02,8.273891259585e+00,2.077777574995e-03,7.341754716696e+00,7.441029492751e+07,2.802441432669e+10,6.661208838967e-06
1.400000000000e+00,9.394377407802e+02,6.189957350391e-02,8.307555412096e+00,2.274451475863e-03,7.341951390597e+00,9.771732276924e+07,2.802450964958e+10,6.661208838967e-06
1.500000000000e+00,3.927524264068e+03,1.056369056924e-01,8.351292744285e+00,2.472047789644e-03,7.342148986911e+00,1.199473634409e+08,2.802460624843e+10,6.661208838967e-06
1.600000000000e+00,8.892897830217e+03,1.504869939416e-01,8.396142832534e+00,2.670197887669e-03,7.342347137009e+00,1.403943118832e+08,2.802469840507e+10,6.661208838967e-06
1.700000000000e+00,1.484374643938e+04,1.907636498119e-01,8.436419488404e+00,2.868654057823e-03,7.342545593179e+00,1.587046150067e+08,2.802478490290e+10,6.661208838967e-06
1.800000000000e+00,2.118017337193e+04,2.256696495329e-01,8.471325488125e+00,3.067309942831e-03,7.342744249064e+00,1.753039093574e+08,2.802486681014e+10,6.661208838967e-06
1.900000000000e+00,2.696680912952e+04,2.533199324548e-01,8.498975771047e+00,3.265956715738e-03,7.342942895837e+00,1.892637069445e+08,2.802493958682e+10,6.661208838967e-06
2.000000000000e+00,3.221454176165e+04,2.757316648303e-01,8.521387503423e+00,3.464401970710e-03,7.343141341092e+00,2.013435967564e+08,2.802500301003e+10,6.661208838967e-06
2.100000000000e+00,3.479431186583e+04,2.851136090253e-01,8.530769447618e+00,3.662532186228e-03,7.343339471307e+00,1.892803296013e+08,2.802501513588e+10,1.332241767793e-07
2.200000000000e+00,3.531473345107e+04,2.864455192104e-01,8.532101357803e+00,3.860284657922e-03,7.343537223779e+00,1.770581639203e+08,2.802499880695e+10,1.332241767793e-07
2.300000000000e+00,3.474963580904e+04,2.836854096428e-01,8.529341248235e+00,4.057799243721e-03,7.343734738365e+00,1.649793200875e+08,2.802496529362e+10,1.332241767793e-07
2.400000000000e+00,3.318557805164e+04,2.770056345730e-01,8.522661473165e+00,4.254755190641e-03,7.343931694312e+00,1.535626429548e+08,2.802490997236e+10,1.332241767793e-07
2.500000000000e+00,3.121685992289e+04,2.684861323397e-01,8.514141970932e+00,4.451188025684e-03,7.344128127147e+00,1.428676336717e+08,2.802484171799e+10,1.332241767793e-07
2.600000000000e+00,2.903988932981e+04,2.587671725072e-01,8.504423011099e+00,4.647049827171e-03,7.344323988948e+00,1.329670854332e+08,2.802476271669e+10,1.332241767793e-07
2.700000000000e+00,2.679483147819e+04,2.483363518925e-01,8.493992190485e+00,4.842326755673e-03,7.344519265877e+00,1.238822537186e+08,2.802467622114e+10,1.332241767793e-07
2.800000000000e+00,2.457482779679e+04,2.375298364984e-01,8.483185675091e+00,5.037158780257e-03,7.344714097901e+00,1.154022903725e+08,2.802458493709e+10,1.332241767793e-07
2.900000000000e+00,2.244853483769e+04,2.266906873497e-01,8.472346525942e+00,5.231217068289e-03,7.344908156190e+00,1.078920807906e+08,2.802448848487e+10,1.332241767793e-07
3.000000000000e+00,2.047530218117e+04,2.161148720913e-01,8.461770710684e+00,5.424631901000e-03,7.345101571022e+00,1.010949105312e+08,2.802438935721e+10,1.332241767793e-07
3.100000000000e+00,1.867014800365e+04,2.059370473948e-01,8.451592885987e+00,5.617384238579e-03,7.345294323360e+00,9.494964705928e+07,2.802428817837e+10,1.332241767793e-07
3.200000000000e+00,1.703497487145e+04,1.962408289464e-01,8.441896667539e+00,5.809467994582e-03,7.345486407116e+00,8.939426323446e+07,2.802418579318e+10,1.332241767793e-07
3.300000000000e+00,1.553926100836e+04,1.869078539914e-01,8.432563692584e+00,6.001054522682e-03,7.345677993644e+00,8.424680991257e+07,2.802408279911e+10,1.332241767793e-07
3.400000000000e+00,1.421826775585e+04,1.782607925207e-01,8.423916631113e+00,6.191824285168e-03,7.345868763406e+00,7.970589152084e+07,2.802397998351e+10,1.332241767793e-07
3.500000000000e+00,1.303800278758e+04,1.701584502020e-01,8.415814288794e+00,6.382009402757e-03,7.346058948524e+00,7.558935840943e+07,2.802387765421e+10,1.332241767793e-07
3.600000000000e+00,1.198323097339e+04,1.625765089131e-01,8.408232347505e+00,6.571654932838e-03,7.346248594054e+00,7.185187768480e+07,2.802377598527e+10,1.332241767793e-07
3.700000000000e+00,1.103979014481e+04,1.554867070434e-01,8.401142545636e+00,6.760669017370e-03,7.346437608139e+00,6.845290005513e+07,2.802367545866e+10,1.332241767793e-07
3.800000000000e+00,1.018036450061e+04,1.487386486308e-01,8.394394487223e+00,6.949238985005e-03,7.346626178106e+00,6.528719728833e+07,2.802357579758e+10,1.332241767793e-07
3.900000000000e+00,9.422670966211e+03,1.425431298223e-01,8.388198968415e+00,7.137020816066e-03,7.346813959937e+00,6.246782623671e+07,2.802347781850e+10,1.332241767793e-07
4.000000000000e+00,8.742514027709e+03,1.367559650989e-01,8.382411803691e+00,7.324162344325e-03,7.347001101466e+00,5.989192319888e+07,2.802338124915e+10,1.332241767793e-07
4.100000000000e+00,8.130700257885e+03,1.313482728624e-01,8.377004111455e+00,7.510662731106e-03,7.347187601852e+00,5.753481464961e+07,2.802328611671e+10,1.332241767793e-07
4.200000000000e+00,7.579238307850e+03,1.262929184534e-01,8.371948757046e+00,7.696559141519e-03,7.347373498263e+00,5.537485062906e+07,2.802319237615e+10,1.332241767793e-07
4.300000000000e+00,7.073042952978e+03,1.214826952710e-01,8.367138533863e+00,7.882024327434e-03,7.347558963449e+00,5.335156865162e+07,2.802309976590e+10,1.332241767793e-07
4.400000000000e+00,6.622626521127e+03,1.170598817451e-01,8.362715720337e+00,8.066703650250e-03,7.347743642771e+00,5.153316659962e+07,2.802300883338e+10,1.332241767793e-07
4.500000000000e+00,6.214562089800e+03,1.129212493430e-01,8.358577087935e+00,8.250760707487e-03,7.347927699829e+00,4.986030811279e+07,2.802291926880e+10,1.332241767793e-07
4.600000000000e+00,5.844106073991e+03,1.090464919660e-01,8.354702330558e+00,8.434201559821e-03,7.348111140681e+00,4.832006625492e+07,2.802283044307e+10,1.332241767793e-07
4.700000000000e+00,5.507151998202e+03,1.054167899000e-01,8.351072628492e+00,8.617029849916e-03,7.348293968971e+00,4.690027883898e+07,2.802274246292e+10,1.332241767793e-07
4.800000000000e+00,5.195327992826e+03,1.019587463705e-01,8.347614584963e+00,8.799403108173e-03,7.348476342229e+00,4.556450633063e+07,2.802265529815e+10,1.332241767793e-07
4.900000000000e+00,4.915219770679e+03,9.877003246258e-02,8.344425871055e+00,8.981027816477e-03,7.348657966938e+00,4.435533836968e+07,2.802256979777e+10,1.332241767793e-07
5.000000000000e+00,4.659226589421e+03,9.577882213206e-02,8.341434660724e+00,9.162084644612e-03,7.348839023766e+00,4.323712170478e+07,2.802248550422e+10,1.332241767793e-07
5.100000000000e+00,4.424843509873e+03,9.297147969308e-02,8.338627318285e+00,9.342560860777e-03,7.349019499982e+00,4.220204294041e+07,2.802240244937e+10,1.332241767793e-07
5.200000000000e+00,4.209900424854e+03,9.033540274381e-02,8.335991241336e+00,9.522460080818e-03,7.349199399202e+00,4.124338388081e+07,2.802232035883e+10,1.332241767793e-07
5.300000000000e+00,4.009545821071e+03,8.782005737076e-02,8.333475895963e+00,9.701938949798e-03,7.349378878071e+00,4.033842358994e+07,2.802223903434e+10,1.332241767793e-07
5.400000000000e+00,3.828041619123e+03,8.549340836278e-02,8.331149246955e+00,9.880739132639e-03,7.349557678254e+00,3.951525651065e+07,2.802215891638e+10,1.332241767793e-07
5.500000000000e+00,3.660889962701e+03,8.330525715825e-02,8.328961095751e+00,1.005898834983e-02,7.349735927471e+00,3.875182940658e+07,2.802207923835e+10,1.332241767793e-07
5.600000000000e+00,3.506704925373e+03,8.124634824001e-02,8.326902186832e+00,1.023669389323e-02,7.349913633014e+00,3.804322101112e+07,2.802200023827e+10,1.332241767793e-07
5.700000000000e+00,3.364282282201e+03,7.930810527289e-02,8.324963943865e+00,1.041386262932e-02,7.350090801751e+00,3.738499345297e+07,2.802192213460e+10,1.332241767793e-07
5.800000000000e+00,3.230682814426e+03,7.745538403607e-02,8.323111222628e+00,1.059063260294e-02,7.350267571724e+00,3.676239140729e+07,2.802184470975e+10,1.332241767793e-07
5.900000000000e+00,3.108759912137e+03,7.573642407692e-02,8.321392262669e+00,1.076674692055e-02,7.350443686042e+00,3.619443800815e+07,2.802176832186e+10,1.332241767793e-07
6.000000000000e+00,2.995752664983e+03,7.411609422689e-02,8.319771932819e+00,1.094234425269e-02,7.350619283374e+00,3.566640798423e+07,2.802169269299e+10,1.332241767793e-07
6.100000000000e+00,2.890869814337e+03,7.258815152375e-02,8.318243990116e+00,1.111743076103e-02,7.350794369882e+00,3.517535467247e+07,2.802161784523e+10,1.332241767793e-07
6.200000000000e+00,2.793421416750e+03,7.114685992572e-02,8.316802698518e+00,1.129201251781e-02,7.350968951639e+00,3.471863039361e+07,2.802154374971e+10,1.332241767793e-07
6.300000000000e+00,2.701544744808e+03,6.976733121497e-02,8.315423169807e+00,1.146621891516e-02,7.351143158036e+00,3.428646154159e+07,2.802147005395e+10,1.332241767793e-07
6.400000000000e+00,2.617218077049e+03,6.848451919699e-02,8.314140357789e+00,1.163980771545e-02,7.351316746837e+00,3.389202739292e+07,2.802139710055e+10,1.332241767793e-07
6.500000000000e+00,2.538667846615e+03,6.727330562595e-02,8.312929144218e+00,1.181290694935e-02,7.351489846071e+00,3.352522448850e+07,2.802132479358e+10,1.332241767793e-07
6.600000000000e+00,2.465406804323e+03,6.612930712131e-02,8.311785145714e+00,1.198552214202e-02,7.351662461263e+00,3.318432122902e+07,2.802125296163e+10,1.332241767793e-07
6.700000000000e+00,2.397028637452e+03,6.504853914328e-02,8.310704377736e+00,1.215767592468e-02,7.351834615046e+00,3.286748578502e+07,2.802118167819e+10,1.332241767793e-07
6.800000000000e+00,2.332296529458e+03,6.401296609525e-02,8.309668804688e+00,1.232950021024e-02,7.352006439331e+00,3.256812267653e+07,2.802111049911e+10,1.332241767793e-07
6.900000000000e+00,2.272612769912e+03,6.304828265755e-02,8.308704121250e+00,1.250074333662e-02,7.352177682458e+00,3.229538955142e+07,2.802103990340e+10,1.332241767793e-07
7.000000000000e+00,2.216791873595e+03,6.213629438726e-02,8.307792132980e+00,1.267152787062e-02,7.352348466992e+00,3.204227894171e+07,2.802096978051e+10,1.332241767793e-07
7.100000000000e+00,2.164540463251e+03,6.127398409819e-02,8.306929822691e+00,1.284187582142e-02,7.352518814943e+00,3.180751932502e+07,2.802090011678e+10,1.332241767793e-07
7.200000000000e+00,2.115594045834e+03,6.045851787525e-02,8.306114356468e+00,1.301178177562e-02,7.352688720897e+00,3.158993354882e+07,2.802083090002e+10,1.332241767793e-07
7.300000000000e+00,2.069111020130e+03,5.967666301693e-02,8.305332501609e+00,1.318135430867e-02,7.352858293430e+00,3.138458285331e+07,2.802076206592e+10,1.332241767793e-07
7.400000000000e+00,2.026114376938e+03,5.894763502032e-02,8.304603473613e+00,1.335037742427e-02,7.353027316545e+00,3.119822528825e+07,2.802069383336e+10,1.332241767793e-07
7.500000000000e+00,1.985782252736e+03,5.825801304813e-02,8.303913851640e+00,1.351896666936e-02,7.353195905791e+00,3.102608144942e+07,2.802062590668e+10,1.332241767793e-07
7.600000000000e+00,1.947926729065e+03,5.760563094053e-02,8.303261469533e+00,1.368712678434e-02,7.353364065906e+00,3.086711955707e+07,2.802055842114e+10,1.332241767793e-07
7.700000000000e+00,1.912379550820e+03,5.698846605887e-02,8.302644304651e+00,1.385486135076e-02,7.353531800472e+00,3.072052038473e+07,2.802049137427e+10,1.332241767793e-07
7.800000000000e+00,1.878545560265e+03,5.639663966281e-02,8.302052478255e+00,1.402227928220e-02,7.353699218403e+00,3.058277604177e+07,2.802042465576e+10,1.332241767793e-07
7.900000000000e+00,1.847182965014e+03,5.584468019635e-02,8.301500518789e+00,1.418917527175e-02,7.353866114393e+00,3.045878098865e+07,2.802035847602e+10,1.332241767793e-07
8.000000000000e+00,1.817706755297e+03,5.532254247283e-02,8.300978381065e+00,1.435565854668e-02,7.354032597668e+00,3.034528366620e+07,2.802029241134e+10,1.332241767793e-07
